count,player_list,name,createtime
254,[254],,
220,[220],,
124,[124],,
120,[120],,
114,[114],,
111,[111],,
107,[107],,
89,[89],,
87,[87],,
81,[81],,
69,[69],,
67,[67],,
63,[63],,
58,[58],,
58,[58],,
53,[53],,
52,[52],,
51,[51],,
50,[50],,
48,[48],,
48,[48],,
47,[47],,
45,[45],,
42,[42],,
40,[40],,
40,[40],,
39,[39],,
39,[39],,
38,[38],,
37,[37],,
34,[34],,
33,[33],,
33,[33],,
32,[32],,
31,[31],,
31,[31],,
29,[29],,
29,[29],,
29,[29],,
28,[28],,
27,[27],,
26,[26],,
25,[25],,
25,[25],,
24,[24],,
24,[24],,
23,[23],,
23,[23],,
23,[23],,
22,[22],,
22,[22],,
22,[22],,
22,[22],,
22,[22],,
21,[21],,
21,[21],,
20,[20],,
20,[20],,
20,[20],,
19,[19],,
19,[19],,
18,[18],,
18,[18],,
18,[18],,
18,[18],,
17,[17],,
17,[17],,
17,[17],,
17,[17],,
16,[16],,
16,[16],,
16,[16],,
16,[16],,
15,[15],,
15,[15],,
15,[15],,
15,[15],,
15,[15],,
14,[14],,
14,[14],,
14,[14],,
14,[14],,
14,[14],,
14,[14],,
14,[14],,
14,[14],,
14,[14],,
14,[14],,
13,[13],,
13,[13],,
13,[13],,
13,[13],,
13,[13],,
13,[13],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
12,[12],,
11,[11],,
11,[11],,
11,[11],,
11,[11],,
11,[11],,
11,[11],,
11,[11],,
11,[11],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
10,[10],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
9,[9],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
8,[8],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
7,[7],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
6,[6],,
5,[5],,
5,[5],,
5,[5],,
5,[5],,
5,[5],,
5,[5],,
